language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.358426881,-0.254414679,1,0,0,1.222,gr_flag,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,2.4583,0.384026092,-0.406555176,1,0,0,next_trial_button,0,39,39,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,3.1827,0.377199636,-0.406032377,1,0,0,next_trial_button,0,40,40,26,1,beach,visiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,2.7459,0.371348409,-0.403418384,1,0,0,next_trial_button,0,41,41,18,1,beach,visiblesun,noclouds,2,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,2.707,0.356476571,-0.432173349,1,0,0,next_trial_button,0,42,42,57,1,beach,invisiblesun,yesclouds,7,"749.707488299532,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,2,1.5485,0.356476571,-0.423808274,1,0,0,next_trial_button,0,43,43,5,1,landscape,invisiblesun,yesclouds,0,"750.4690431519699,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,7,1.9624,0.369885565,-0.430604953,1,0,0,next_trial_button,0,44,44,41,1,beach,invisiblesun,yesclouds,5,"1248.4394506866417,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,2,2.1088,0.375980636,-0.413874654,1,0,0,next_trial_button,0,45,45,68,1,landscape,invisiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,2.3344,0.398166619,-0.449426447,1,0,0,next_trial_button,0,46,46,6,1,landscape,visiblesun,noclouds,0,"1413.8005159071367,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,4,2.6934,0.369641795,-0.386165286,1,0,0,next_trial_button,0,47,47,54,1,landscape,visiblesun,noclouds,6,"695.0043821209465,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,7,5.1648,0.390121164,-0.426422415,1,0,0,next_trial_button,0,48,48,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,2,1.924,0.353063343,-0.417534393,1,0,0,next_trial_button,0,49,49,23,1,landscape,visiblesun,yesclouds,2,"767.97829036635,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,4,2.702,0.36769141,-0.422239878,1,0,0,next_trial_button,0,50,50,79,1,landscape,visiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,2,2.8865,0.377687251,-0.409169317,1,0,0,next_trial_button,0,51,51,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,1.7889,0.354526038,-0.425899617,1,0,0,next_trial_button,0,52,52,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
