language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.2766765,-0.249899089,1,0,0,3.2001,gr_flag,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.5778,0.467229546,-0.424296061,1,0,0,next_trial_button,0,20,20,9,1,beach,invisiblesun,yesclouds,1,"750,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,4,2.1117,0.37796563,-0.41114624,1,0,0,next_trial_button,0,21,21,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.6082,0.466159804,-0.423215196,1,0,0,next_trial_button,0,22,22,46,1,landscape,visiblesun,noclouds,5,"750,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,9,1.8809,0.384985894,-0.405066121,1,0,0,next_trial_button,0,23,23,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.7437,0.470687934,-0.404214138,1,0,0,next_trial_button,0,24,24,39,1,landscape,visiblesun,yesclouds,4,"749.7656982193065,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,2.3747,0.455667589,-0.410540432,1,0,0,next_trial_button,0,25,25,48,1,beach,invisiblesun,noclouds,6,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,6,2.4777,0.34079088,-0.411952379,1,0,0,next_trial_button,0,26,26,12,1,landscape,invisiblesun,noclouds,1,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.8264,0.520660943,-0.40242947,1,0,0,next_trial_button,0,27,27,58,1,beach,visiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,8,1.623,0.376106228,-0.408439806,1,0,0,next_trial_button,0,28,28,7,1,landscape,visiblesun,yesclouds,0,"743.421052631579,500",
,,,,,,,gr,gr,gr,m,23,,2021-08-31_17h43.31.909,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1nzq3DuG0ACMPvAGveyBSH8gNKFs8lBpr0U24HSSrM3lRDw_YRoEhYFYM,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,789,1440,900,,,,,,,,4,1.9428,0.451169569,-0.406039836,1,0,0,next_trial_button,0,29,29,63,1,landscape,visiblesun,yesclouds,7,"331.94444444444446,500",
