language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.296636285,-0.248849826,1,0,0,0.6383,gr_flag,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,1.9353,0.452404514,-0.413893229,1,0,0,next_trial_button,0,20,20,39,1,landscape,visiblesun,yesclouds,4,"749.7656982193065,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,1.9642,0.382274306,-0.429826389,1,0,0,next_trial_button,0,21,21,27,1,beach,visiblesun,yesclouds,3,"752.8089887640449,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,9,1.9304,0.424600694,-0.433914931,1,0,0,next_trial_button,0,22,22,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,2.7108,0.470564236,-0.427447917,1,0,0,next_trial_button,0,23,23,77,1,landscape,invisiblesun,yesclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,9,3.2413,0.381536458,-0.421028646,1,0,0,next_trial_button,0,24,24,51,1,beach,visiblesun,yesclouds,6,"657.1279916753382,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,8.0731,0.374813368,-0.451132812,1,0,0,next_trial_button,0,25,25,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,10,2.8603,0.341818576,-0.422395833,1,0,0,next_trial_button,0,26,26,45,1,landscape,invisiblesun,yesclouds,5,"749.6251874062968,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,3.158,0.373732639,-0.414726563,1,0,0,next_trial_button,0,27,27,47,1,landscape,visiblesun,yesclouds,5,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,3.0889,0.422751736,-0.426901042,1,0,0,next_trial_button,0,28,28,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,9,5.6776,0.329335938,-0.449939236,1,0,0,next_trial_button,0,29,29,49,1,beach,invisiblesun,yesclouds,6,"858.4474885844749,500",
