language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.388888889,-0.181111111,1,0,0,1.075,de_flag,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,9,1.925,0.463333333,-0.418888889,1,0,0,next_trial_button,0,29,29,41,1,beach,invisiblesun,yesclouds,5,"1248.4394506866417,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,10,1.58,0.378888889,-0.426666667,1,0,0,next_trial_button,0,30,30,37,1,landscape,invisiblesun,yesclouds,4,"669.4214876033058,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,7,1.709,0.448888889,-0.426666667,1,0,0,next_trial_button,0,31,31,42,1,beach,visiblesun,noclouds,5,"834.4594594594595,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,1,1.612,0.445555556,-0.427777778,1,0,0,next_trial_button,0,32,32,72,1,beach,invisiblesun,noclouds,9,"888.8888888888888,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,4,1.962,0.326666667,-0.418888889,1,0,0,next_trial_button,0,33,33,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,2,1.981,0.422222222,-0.427777778,1,0,0,next_trial_button,0,34,34,56,1,beach,invisiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,4,1.977,0.382222222,-0.396666667,1,0,0,next_trial_button,0,35,35,62,1,landscape,visiblesun,noclouds,7,"417.42389822807814,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,4.444,0.434444444,-0.421111111,1,0,0,next_trial_button,0,36,36,44,1,landscape,invisiblesun,noclouds,5,"666.6666666666666,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,1,1.71,0.483333333,-0.433333333,1,0,0,next_trial_button,0,37,37,69,1,landscape,invisiblesun,yesclouds,8,"750,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,5,1.963,0.352222222,-0.402222222,1,0,0,next_trial_button,0,38,38,54,1,landscape,visiblesun,noclouds,6,"695.0043821209465,500",
