language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.273333333,-0.296190476,1,0,0,1.221,de_flag,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,10,2.195,0.379047619,-0.420952381,1,0,0,next_trial_button,0,21,21,29,1,landscape,invisiblesun,yesclouds,3,"749.8660953401178,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,8,3.916,0.35047619,-0.414285714,1,0,0,next_trial_button,0,22,22,66,1,beach,visiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,7,3.454,0.345714286,-0.40952381,1,0,0,next_trial_button,0,23,23,9,1,beach,invisiblesun,yesclouds,1,"750,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,9,4.332,0.360952381,-0.419047619,1,0,0,next_trial_button,0,24,24,20,1,landscape,invisiblesun,noclouds,2,"755.192878338279,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,7,4.787,0.384761905,-0.416190476,1,0,0,next_trial_button,0,25,25,55,1,landscape,visiblesun,yesclouds,6,"749.8819083608881,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,3,3.458,0.34952381,-0.421904762,1,0,0,next_trial_button,0,26,26,32,1,beach,invisiblesun,noclouds,4,"750,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,10,2.174,0.339047619,-0.425714286,1,0,0,next_trial_button,0,27,27,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,7,2.477,0.336190476,-0.445714286,1,0,0,next_trial_button,0,28,28,47,1,landscape,visiblesun,yesclouds,5,"666.6666666666666,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,4,3.965,0.322857143,-0.425714286,1,0,0,next_trial_button,0,29,29,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,4,3.877,0.328571429,-0.407619048,1,0,0,next_trial_button,0,30,30,23,1,landscape,visiblesun,yesclouds,2,"767.97829036635,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,6,3.744,0.34,-0.404761905,1,0,0,next_trial_button,0,31,31,34,1,beach,visiblesun,noclouds,4,"749.6251874062968,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,1,2.079,0.342857143,-0.416190476,1,0,0,next_trial_button,0,32,32,68,1,landscape,invisiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,2,4.315,0.412380952,-0.437142857,1,0,0,next_trial_button,0,33,33,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,5,2.305,0.400952381,-0.43047619,1,0,0,next_trial_button,0,34,34,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,7,3.63,0.312380952,-0.431428571,1,0,0,next_trial_button,0,35,35,70,1,landscape,visiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,1,2.335,0.358095238,-0.4,1,0,0,next_trial_button,0,36,36,5,1,landscape,invisiblesun,yesclouds,0,"750.4690431519699,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,5,3.48,0.340952381,-0.416190476,1,0,0,next_trial_button,0,37,37,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,3,4.743,0.336190476,-0.408571429,1,0,0,next_trial_button,0,38,38,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,5,2.159,0.335238095,-0.417142857,1,0,0,next_trial_button,0,39,39,19,1,beach,visiblesun,yesclouds,2,"770.1393095093882,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,4,3.042,0.385714286,-0.417142857,1,0,0,next_trial_button,0,40,40,56,1,beach,invisiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,2,4.76,0.336190476,-0.411428571,1,0,0,next_trial_button,0,41,41,77,1,landscape,invisiblesun,yesclouds,9,"888.8888888888888,500",
