language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.306939019,-0.189048937,1,0,0,0.4664,gr_flag,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,4.5362,0.370906576,-0.404277886,1,0,0,next_trial_button,0,20,20,34,1,beach,visiblesun,noclouds,4,"749.6251874062968,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,3.9027,0.416148546,-0.418429905,1,0,0,next_trial_button,0,21,21,66,1,beach,visiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,4,2.4501,0.404380968,-0.423885091,1,0,0,next_trial_button,0,22,22,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,1.9817,0.454787869,-0.388142904,1,0,0,next_trial_button,0,23,23,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,1.7969,0.455425347,-0.404066298,1,0,0,next_trial_button,0,24,24,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,8,1.4132,0.437711589,-0.412950304,1,0,0,next_trial_button,0,25,25,50,1,beach,visiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,8,2.1164,0.3642551,-0.411520725,1,0,0,next_trial_button,0,26,26,18,1,beach,visiblesun,noclouds,2,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,5,3.1849,0.406236437,-0.387825521,1,0,0,next_trial_button,0,27,27,36,1,landscape,invisiblesun,noclouds,4,"281.25,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,4,2.7675,0.31547309,-0.379866536,1,0,0,next_trial_button,0,28,28,51,1,beach,visiblesun,yesclouds,6,"657.1279916753382,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,9,4.3176,0.40328776,-0.400941298,1,0,0,next_trial_button,0,29,29,27,1,beach,visiblesun,yesclouds,3,"752.8089887640449,500",
