language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.294444444,-0.226666667,1,0,0,2.719,gr_flag,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,6,5.126,0.417777778,-0.444444444,1,0,0,next_trial_button,0,20,20,72,1,beach,invisiblesun,noclouds,9,"888.8888888888888,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,8,4.333,0.418888889,-0.421111111,1,0,0,next_trial_button,0,21,21,58,1,beach,visiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,9,5.58,0.414444444,-0.45,1,0,0,next_trial_button,0,22,22,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,4,4.766,0.34,-0.436666667,1,0,0,next_trial_button,0,23,23,66,1,beach,visiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,7,5.823,0.482222222,-0.428888889,1,0,0,next_trial_button,0,24,24,2,1,beach,visiblesun,noclouds,0,"375,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,4,2.74,0.422222222,-0.405555556,1,0,0,next_trial_button,0,25,25,55,1,landscape,visiblesun,yesclouds,6,"749.8819083608881,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,4,2.307,0.407777778,-0.398888889,1,0,0,next_trial_button,0,26,26,26,1,beach,visiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,3,4.966,0.401111111,-0.404444444,1,0,0,next_trial_button,0,27,27,6,1,landscape,visiblesun,noclouds,0,"1413.8005159071367,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,1,2.809,0.473333333,-0.392222222,1,0,0,next_trial_button,0,28,28,28,1,landscape,invisiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,7,4.142,0.34,-0.444444444,1,0,0,next_trial_button,0,29,29,52,1,landscape,invisiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,3,5.382,0.385555556,-0.434444444,1,0,0,next_trial_button,0,30,30,79,1,landscape,visiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,8,4.887,0.414444444,-0.426666667,1,0,0,next_trial_button,0,31,31,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,3,3.952,0.327777778,-0.41,1,0,0,next_trial_button,0,32,32,77,1,landscape,invisiblesun,yesclouds,9,"888.8888888888888,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,7,2.577,0.348888889,-0.431111111,1,0,0,next_trial_button,0,33,33,41,1,beach,invisiblesun,yesclouds,5,"1248.4394506866417,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,9,2.312,0.44,-0.435555556,1,0,0,next_trial_button,0,34,34,53,1,landscape,invisiblesun,yesclouds,6,"750.0695023630803,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,9,3.11,0.393333333,-0.436666667,1,0,0,next_trial_button,0,35,35,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,10,1.756,0.358888889,-0.417777778,1,0,0,next_trial_button,0,36,36,22,1,landscape,visiblesun,noclouds,2,"749.3333333333333,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,3,7.256,0.473333333,-0.381111111,1,0,0,next_trial_button,0,37,37,70,1,landscape,visiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,10,8.293,0.316666667,-0.424444444,1,0,0,next_trial_button,0,38,38,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,7,2.856,0.346666667,-0.415555556,1,0,0,next_trial_button,0,39,39,47,1,landscape,visiblesun,yesclouds,5,"666.6666666666666,500",
