language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.44,-0.256666667,1,0,0,1.218,de_flag,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.605,0.434444444,-0.388888889,1,0,0,next_trial_button,0,21,21,18,1,beach,visiblesun,noclouds,2,"666.6666666666666,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.588,0.527777778,-0.402222222,1,0,0,next_trial_button,0,22,22,16,1,beach,invisiblesun,noclouds,2,"752.8089887640449,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.617,0.473333333,-0.382222222,1,0,0,next_trial_button,0,23,23,49,1,beach,invisiblesun,yesclouds,6,"858.4474885844749,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.524,0.483333333,-0.402222222,1,0,0,next_trial_button,0,24,24,43,1,beach,visiblesun,yesclouds,5,"750,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,2,3.171,0.432222222,-0.392222222,1,0,0,next_trial_button,0,25,25,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.827,0.506666667,-0.405555556,1,0,0,next_trial_button,0,26,26,17,1,beach,invisiblesun,yesclouds,2,"684.8635235732011,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.853,0.348888889,-0.412222222,1,0,0,next_trial_button,0,27,27,15,1,landscape,visiblesun,yesclouds,1,"333.3333333333333,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,1,1.644,0.498888889,-0.401111111,1,0,0,next_trial_button,0,28,28,30,1,landscape,visiblesun,noclouds,3,"346.3035019455253,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.496,0.448888889,-0.402222222,1,0,0,next_trial_button,0,29,29,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,3,2.138,0.373333333,-0.403333333,1,0,0,next_trial_button,0,30,30,38,1,landscape,visiblesun,noclouds,4,"733.3333333333333,500",
