language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.29,-0.228888889,1,0,0,1.226,gr_flag,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,7,2.522,0.342222222,-0.417777778,1,0,0,next_trial_button,0,20,20,77,1,landscape,invisiblesun,yesclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,1.701,0.365555556,-0.421111111,1,0,0,next_trial_button,0,21,21,39,1,landscape,visiblesun,yesclouds,4,"749.7656982193065,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,9,2.083,0.332222222,-0.403333333,1,0,0,next_trial_button,0,22,22,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,7.362,0.361111111,-0.417777778,1,0,0,next_trial_button,0,23,23,47,1,landscape,visiblesun,yesclouds,5,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,7,2.248,0.512222222,-0.41,1,0,0,next_trial_button,0,24,24,26,1,beach,visiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,6,2.118,0.333333333,-0.413333333,1,0,0,next_trial_button,0,25,25,51,1,beach,visiblesun,yesclouds,6,"657.1279916753382,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,8,1.932,0.314444444,-0.414444444,1,0,0,next_trial_button,0,26,26,21,1,landscape,invisiblesun,yesclouds,2,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,7,2.299,0.357777778,-0.413333333,1,0,0,next_trial_button,0,27,27,16,1,beach,invisiblesun,noclouds,2,"752.8089887640449,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,2,2.378,0.345555556,-0.432222222,1,0,0,next_trial_button,0,28,28,76,1,landscape,invisiblesun,noclouds,9,"1056.6037735849056,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,1.994,0.358888889,-0.413333333,1,0,0,next_trial_button,0,29,29,41,1,beach,invisiblesun,yesclouds,5,"1248.4394506866417,500",
